ticker,company_name,simfin_id,source,source_dataset_income,source_dataset_balance,source_dataset_shareprices,fetched_at_utc,report_date,publish_date,fiscal_year,fiscal_period,price_date,close,adj_close,volume,shares_outstanding_latest,shares_basic,shares_diluted,revenue,gross_profit,operating_income,net_income,net_income_common,total_assets,total_liabilities,total_equity,short_term_debt,long_term_debt,total_debt_simple,cash_and_equivalents,total_current_assets,total_current_liabilities,current_ratio_simple,eps_simple,pe_simple,exclusion_reason,filtered_at_utc
AES,AES CORP,62329.0,simfin,,,us-shareprices-latest,2026-04-15T23:13:34+00:00,,,,,2026-04-14,14.4,14.4,6774965.0,712558860.0,,,,,,,,,,,,,0.0,,,,,,,missing_revenue;missing_net_income;missing_pe_simple;non_positive_revenue;non_positive_total_assets,2026-04-15T23:15:00+00:00
AFL,AFLAC INC,62581.0,simfin,,,us-shareprices-latest,2026-04-15T23:13:34+00:00,,,,,2026-04-14,111.94,111.94,1574116.0,516369452.0,,,,,,,,,,,,,0.0,,,,,,,missing_revenue;missing_net_income;missing_pe_simple;non_positive_revenue;non_positive_total_assets,2026-04-15T23:15:00+00:00
ALL,ALLSTATE CORP,68840.0,simfin,,,us-shareprices-latest,2026-04-15T23:13:34+00:00,,,,,2026-04-14,214.88,214.88,1114739.0,259535842.0,,,,,,,,,,,,,0.0,,,,,,,missing_revenue;missing_net_income;missing_pe_simple;non_positive_revenue;non_positive_total_assets,2026-04-15T23:15:00+00:00
GOOGL,,,simfin,,,us-shareprices-latest,2026-04-15T23:13:34+00:00,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,missing_company_name;missing_revenue;missing_net_income;missing_close;missing_pe_simple;non_positive_revenue;non_positive_close;non_positive_total_assets,2026-04-15T23:15:00+00:00
AXP,AMERICAN EXPRESS CO,413080.0,simfin,,,us-shareprices-latest,2026-04-15T23:13:34+00:00,,,,,2026-04-14,326.96,326.96,2169815.0,686614005.0,,,,,,,,,,,,,0.0,,,,,,,missing_revenue;missing_net_income;missing_pe_simple;non_positive_revenue;non_positive_total_assets,2026-04-15T23:15:00+00:00
AIG,AMERICAN INTERNATIONAL GROUP INC,251769.0,simfin,,,us-shareprices-latest,2026-04-15T23:13:34+00:00,,,,,2026-04-14,77.02,77.02,3477375.0,536559663.0,,,,,,,,,,,,,0.0,,,,,,,missing_revenue;missing_net_income;missing_pe_simple;non_positive_revenue;non_positive_total_assets,2026-04-15T23:15:00+00:00
ACGL,Arch Capital Group LTD,445596.0,simfin,,,us-shareprices-latest,2026-04-15T23:13:34+00:00,,,,,2026-04-14,96.2,96.2,1838459.0,355803320.0,,,,,,,,,,,,,0.0,,,,,,,missing_revenue;missing_net_income;missing_pe_simple;non_positive_revenue;non_positive_total_assets,2026-04-15T23:15:00+00:00
AIZ,ASSURANT INC,66661.0,simfin,,,us-shareprices-latest,2026-04-15T23:13:34+00:00,,,,,2026-04-14,222.27,222.27,266011.0,49699769.0,,,,,,,,,,,,,0.0,,,,,,,missing_revenue;missing_net_income;missing_pe_simple;non_positive_revenue;non_positive_total_assets,2026-04-15T23:15:00+00:00
BAC,BANK OF AMERICA CORP /DE/,71941.0,simfin,,,us-shareprices-latest,2026-04-15T23:13:34+00:00,,,,,2026-04-14,53.35,53.35,38753708.0,7176682170.0,,,,,,,,,,,,,0.0,,,,,,,missing_revenue;missing_net_income;missing_pe_simple;non_positive_revenue;non_positive_total_assets,2026-04-15T23:15:00+00:00
BRK.B,,,simfin,,,us-shareprices-latest,2026-04-15T23:13:34+00:00,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,missing_company_name;missing_revenue;missing_net_income;missing_close;missing_pe_simple;non_positive_revenue;non_positive_close;non_positive_total_assets,2026-04-15T23:15:00+00:00
