ticker,company_name,simfin_id,source,source_dataset_income,source_dataset_balance,source_dataset_shareprices,fetched_at_utc,report_date,publish_date,fiscal_year,fiscal_period,price_date,close,adj_close,volume,shares_outstanding_latest,shares_basic,shares_diluted,revenue,gross_profit,operating_income,net_income,net_income_common,total_assets,total_liabilities,total_equity,short_term_debt,long_term_debt,total_debt_simple,cash_and_equivalents,total_current_assets,total_current_liabilities,current_ratio_simple,eps_simple,pe_simple,exclusion_reason,filtered_at_utc
XYZ,,,simfin,,,us-shareprices-latest,2026-04-15T23:13:34+00:00,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,missing_company_name;missing_revenue;missing_net_income;missing_close;missing_pe_simple;non_positive_revenue;non_positive_close;non_positive_total_assets,2026-04-15T23:15:00+00:00
BK,Bank of New York Mellon Corp,467599.0,simfin,,,us-shareprices-latest,2026-04-15T23:13:34+00:00,,,,,2026-04-14,130.51,130.51,3659791.0,686907398.0,,,,,,,,,,,,,0.0,,,,,,,missing_revenue;missing_net_income;missing_pe_simple;non_positive_revenue;non_positive_total_assets,2026-04-15T23:15:00+00:00
BF.B,,,simfin,,,us-shareprices-latest,2026-04-15T23:13:34+00:00,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,missing_company_name;missing_revenue;missing_net_income;missing_close;missing_pe_simple;non_positive_revenue;non_positive_close;non_positive_total_assets,2026-04-15T23:15:00+00:00
COF,Capital One Financial,378103.0,simfin,,,us-shareprices-latest,2026-04-15T23:13:34+00:00,,,,,2026-04-14,199.84,199.84,3357508.0,621931593.0,,,,,,,,,,,,,0.0,,,,,,,missing_revenue;missing_net_income;missing_pe_simple;non_positive_revenue;non_positive_total_assets,2026-04-15T23:15:00+00:00
SCHW,Charles Schwab Corporation,378109.0,simfin,,,us-shareprices-latest,2026-04-15T23:13:34+00:00,,,,,2026-04-14,98.38,98.38,11566135.0,1813567665.0,,,,,,,,,,,,,0.0,,,,,,,missing_revenue;missing_net_income;missing_pe_simple;non_positive_revenue;non_positive_total_assets,2026-04-15T23:15:00+00:00
CB,Chubb Limited,378112.0,simfin,,,us-shareprices-latest,2026-04-15T23:13:34+00:00,,,,,2026-04-14,325.74,325.74,1255374.0,390156552.0,,,,,,,,,,,,,0.0,,,,,,,missing_revenue;missing_net_income;missing_pe_simple;non_positive_revenue;non_positive_total_assets,2026-04-15T23:15:00+00:00
CI,CIGNA Corp.,378114.0,simfin,,,us-shareprices-latest,2026-04-15T23:13:34+00:00,,,,,2026-04-14,272.6,272.6,848714.0,263528277.0,,,,,,,,,,,,,0.0,,,,,,,missing_revenue;missing_net_income;missing_pe_simple;non_positive_revenue;non_positive_total_assets,2026-04-15T23:15:00+00:00
CINF,CINCINNATI FINANCIAL CORP,248488.0,simfin,,,us-shareprices-latest,2026-04-15T23:13:34+00:00,,,,,2026-04-14,163.35,163.35,619154.0,155617576.0,,,,,,,,,,,,,0.0,,,,,,,missing_revenue;missing_net_income;missing_pe_simple;non_positive_revenue;non_positive_total_assets,2026-04-15T23:15:00+00:00
C,CITIGROUP INC,89126.0,simfin,,,us-shareprices-latest,2026-04-15T23:13:34+00:00,,,,,2026-04-14,129.58,129.58,16605267.0,1749319009.0,,,,,,,,,,,,,0.0,,,,,,,missing_revenue;missing_net_income;missing_pe_simple;non_positive_revenue;non_positive_total_assets,2026-04-15T23:15:00+00:00
CFG,Citizens Financial Group,378202.0,simfin,,,us-shareprices-latest,2026-04-15T23:13:34+00:00,,,,,2026-04-14,64.87,64.87,4352733.0,424983657.0,,,,,,,,,,,,,0.0,,,,,,,missing_revenue;missing_net_income;missing_pe_simple;non_positive_revenue;non_positive_total_assets,2026-04-15T23:15:00+00:00
CPAY,,,simfin,,,us-shareprices-latest,2026-04-15T23:13:34+00:00,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,missing_company_name;missing_revenue;missing_net_income;missing_close;missing_pe_simple;non_positive_revenue;non_positive_close;non_positive_total_assets,2026-04-15T23:15:00+00:00
DLR,"Digital Realty Trust, Inc.",286372.0,simfin,us-income-quarterly,us-balance-quarterly,us-shareprices-latest,2026-04-15T23:13:34+00:00,2025-03-31,2025-05-01,2025.0,Q1,,,,,,336683000.0,344721000.0,1407637000.0,855652000.0,235652000.0,109974000.0,99793000.0,45080562000.0,21902406000.0,23178156000.0,,17016279000.0,17016279000.0,2321885000.0,3695406000.0,3768951000.0,0.9804866128532846,0.2894891811058798,,missing_close;missing_pe_simple;non_positive_close,2026-04-15T23:15:00+00:00
ELV,Elevance Health Inc.,378099.0,simfin,,,us-shareprices-latest,2026-04-15T23:13:34+00:00,,,,,2026-04-14,313.35,313.35,1403258.0,220704667.0,,,,,,,,,,,,,0.0,,,,,,,missing_revenue;missing_net_income;missing_pe_simple;non_positive_revenue;non_positive_total_assets,2026-04-15T23:15:00+00:00
ERIE,Erie Indemnity Co,446629.0,simfin,,,us-shareprices-latest,2026-04-15T23:13:34+00:00,,,,,2026-04-14,249.43,249.43,209117.0,46191610.0,,,,,,,,,,,,,0.0,,,,,,,missing_revenue;missing_net_income;missing_pe_simple;non_positive_revenue;non_positive_total_assets,2026-04-15T23:15:00+00:00
FITB,Fifth Third Bancorp,378145.0,simfin,,,us-shareprices-latest,2026-04-15T23:13:34+00:00,,,,,2026-04-14,49.77,49.77,5832292.0,901819022.0,,,,,,,,,,,,,0.0,,,,,,,missing_revenue;missing_net_income;missing_pe_simple;non_positive_revenue;non_positive_total_assets,2026-04-15T23:15:00+00:00
FISV,,,simfin,,,us-shareprices-latest,2026-04-15T23:13:34+00:00,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,missing_company_name;missing_revenue;missing_net_income;missing_close;missing_pe_simple;non_positive_revenue;non_positive_close;non_positive_total_assets,2026-04-15T23:15:00+00:00
FOXA,,,simfin,,,us-shareprices-latest,2026-04-15T23:13:34+00:00,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,missing_company_name;missing_revenue;missing_net_income;missing_close;missing_pe_simple;non_positive_revenue;non_positive_close;non_positive_total_assets,2026-04-15T23:15:00+00:00
GEV,,,simfin,,,us-shareprices-latest,2026-04-15T23:13:34+00:00,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,missing_company_name;missing_revenue;missing_net_income;missing_close;missing_pe_simple;non_positive_revenue;non_positive_close;non_positive_total_assets,2026-04-15T23:15:00+00:00
GL,GLOBE LIFE INC.,378226.0,simfin,,,us-shareprices-latest,2026-04-15T23:13:34+00:00,,,,,2026-04-14,148.2,148.2,437748.0,78637130.0,,,,,,,,,,,,,0.0,,,,,,,missing_revenue;missing_net_income;missing_pe_simple;non_positive_revenue;non_positive_total_assets,2026-04-15T23:15:00+00:00
GS,GOLDMAN SACHS GROUP INC,60439.0,simfin,,,us-shareprices-latest,2026-04-15T23:13:34+00:00,,,,,2026-04-14,909.63,909.63,2720401.0,296752922.0,,,,,,,,,,,,,0.0,,,,,,,missing_revenue;missing_net_income;missing_pe_simple;non_positive_revenue;non_positive_total_assets,2026-04-15T23:15:00+00:00
HIG,HARTFORD FINANCIAL SERVICES GROUP INC/DE,387752.0,simfin,,,us-shareprices-latest,2026-04-15T23:13:34+00:00,,,,,2026-04-14,138.77,138.77,1172239.0,275863220.0,,,,,,,,,,,,,0.0,,,,,,,missing_revenue;missing_net_income;missing_pe_simple;non_positive_revenue;non_positive_total_assets,2026-04-15T23:15:00+00:00
HUM,HUMANA INC,234479.0,simfin,,,us-shareprices-latest,2026-04-15T23:13:34+00:00,,,,,2026-04-14,196.21,196.21,1101664.0,120595967.0,,,,,,,,,,,,,0.0,,,,,,,missing_revenue;missing_net_income;missing_pe_simple;non_positive_revenue;non_positive_total_assets,2026-04-15T23:15:00+00:00
HBAN,Huntington Bancshares,378164.0,simfin,,,us-shareprices-latest,2026-04-15T23:13:34+00:00,,,,,2026-04-14,16.59,16.59,27488070.0,2029792391.0,,,,,,,,,,,,,0.0,,,,,,,missing_revenue;missing_net_income;missing_pe_simple;non_positive_revenue;non_positive_total_assets,2026-04-15T23:15:00+00:00
IR,Ingersoll Rand Inc.,6475601.0,simfin,,,us-shareprices-latest,2026-04-15T23:13:34+00:00,,,,,2026-04-14,88.32,88.32,3667322.0,391617994.0,,,,,,,,,,,,,0.0,,,,,,,missing_revenue;missing_net_income;missing_pe_simple;non_positive_revenue;non_positive_total_assets,2026-04-15T23:15:00+00:00
IBKR,"Interactive Brokers Group, Inc.",718957.0,simfin,,,us-shareprices-latest,2026-04-15T23:13:34+00:00,,,,,2026-04-14,77.1,77.1,5520208.0,445439858.0,,,,,,,,,,,,,0.0,,,,,,,missing_revenue;missing_net_income;missing_pe_simple;non_positive_revenue;non_positive_total_assets,2026-04-15T23:15:00+00:00
JPM,JPMORGAN CHASE & CO,243510.0,simfin,,,us-shareprices-latest,2026-04-15T23:13:34+00:00,,,,,2026-04-14,311.12,311.12,10863698.0,2697032375.0,,,,,,,,,,,,,0.0,,,,,,,missing_revenue;missing_net_income;missing_pe_simple;non_positive_revenue;non_positive_total_assets,2026-04-15T23:15:00+00:00
KEY,KeyCorp,378174.0,simfin,,,us-shareprices-latest,2026-04-15T23:13:34+00:00,,,,,2026-04-14,21.63,21.63,14021917.0,1089647432.0,,,,,,,,,,,,,0.0,,,,,,,missing_revenue;missing_net_income;missing_pe_simple;non_positive_revenue;non_positive_total_assets,2026-04-15T23:15:00+00:00
L,Loews Corp.,378182.0,simfin,,,us-shareprices-latest,2026-04-15T23:13:34+00:00,,,,,2026-04-14,110.28,110.28,642747.0,206052874.0,,,,,,,,,,,,,0.0,,,,,,,missing_revenue;missing_net_income;missing_pe_simple;non_positive_revenue;non_positive_total_assets,2026-04-15T23:15:00+00:00
MTB,M&T BANK CORP,335339.0,simfin,,,us-shareprices-latest,2026-04-15T23:13:34+00:00,,,,,2026-04-14,220.51,220.51,983702.0,149000252.0,,,,,,,,,,,,,0.0,,,,,,,missing_revenue;missing_net_income;missing_pe_simple;non_positive_revenue;non_positive_total_assets,2026-04-15T23:15:00+00:00
MRSH,,,simfin,,,us-shareprices-latest,2026-04-15T23:13:34+00:00,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,missing_company_name;missing_revenue;missing_net_income;missing_close;missing_pe_simple;non_positive_revenue;non_positive_close;non_positive_total_assets,2026-04-15T23:15:00+00:00
MET,METLIFE INC,380562.0,simfin,,,us-shareprices-latest,2026-04-15T23:13:34+00:00,,,,,2026-04-14,76.04,76.04,3395913.0,658891656.0,,,,,,,,,,,,,0.0,,,,,,,missing_revenue;missing_net_income;missing_pe_simple;non_positive_revenue;non_positive_total_assets,2026-04-15T23:15:00+00:00
MS,MORGAN STANLEY,86439.0,simfin,,,us-shareprices-latest,2026-04-15T23:13:34+00:00,,,,,2026-04-14,183.34,183.34,8535702.0,1587860206.0,,,,,,,,,,,,,0.0,,,,,,,missing_revenue;missing_net_income;missing_pe_simple;non_positive_revenue;non_positive_total_assets,2026-04-15T23:15:00+00:00
NWSA,,,simfin,,,us-shareprices-latest,2026-04-15T23:13:34+00:00,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,missing_company_name;missing_revenue;missing_net_income;missing_close;missing_pe_simple;non_positive_revenue;non_positive_close;non_positive_total_assets,2026-04-15T23:15:00+00:00
NTRS,NORTHERN TRUST CORP,407194.0,simfin,,,us-shareprices-latest,2026-04-15T23:13:34+00:00,,,,,2026-04-14,155.82,155.82,887453.0,185827803.0,,,,,,,,,,,,,0.0,,,,,,,missing_revenue;missing_net_income;missing_pe_simple;non_positive_revenue;non_positive_total_assets,2026-04-15T23:15:00+00:00
PSKY,Paramount Skydance Corporation Class B Common Stock,19741528.0,simfin,,,us-shareprices-latest,2026-04-15T23:13:34+00:00,,,,,2026-04-14,11.08,11.08,8876312.0,1111741109.0,,,,,,,,,,,,,0.0,,,,,,,missing_revenue;missing_net_income;missing_pe_simple;non_positive_revenue;non_positive_total_assets,2026-04-15T23:15:00+00:00
PNC,"PNC FINANCIAL SERVICES GROUP, INC.",348075.0,simfin,,,us-shareprices-latest,2026-04-15T23:13:34+00:00,,,,,2026-04-14,221.2,221.2,2527101.0,403370923.0,,,,,,,,,,,,,0.0,,,,,,,missing_revenue;missing_net_income;missing_pe_simple;non_positive_revenue;non_positive_total_assets,2026-04-15T23:15:00+00:00
PFG,PRINCIPAL FINANCIAL GROUP INC,367240.0,simfin,,,us-shareprices-latest,2026-04-15T23:13:34+00:00,,,,,2026-04-14,94.14,94.14,1106609.0,216835141.0,,,,,,,,,,,,,0.0,,,,,,,missing_revenue;missing_net_income;missing_pe_simple;non_positive_revenue;non_positive_total_assets,2026-04-15T23:15:00+00:00
PGR,Progressive Corp.,378203.0,simfin,,,us-shareprices-latest,2026-04-15T23:13:34+00:00,,,,,2026-04-14,196.59,196.59,3158661.0,585906353.0,,,,,,,,,,,,,0.0,,,,,,,missing_revenue;missing_net_income;missing_pe_simple;non_positive_revenue;non_positive_total_assets,2026-04-15T23:15:00+00:00
PRU,PRUDENTIAL FINANCIAL INC,78741.0,simfin,,,us-shareprices-latest,2026-04-15T23:13:34+00:00,,,,,2026-04-14,98.76,98.76,1807114.0,348000000.0,,,,,,,,,,,,,0.0,,,,,,,missing_revenue;missing_net_income;missing_pe_simple;non_positive_revenue;non_positive_total_assets,2026-04-15T23:15:00+00:00
Q,,,simfin,,,us-shareprices-latest,2026-04-15T23:13:34+00:00,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,missing_company_name;missing_revenue;missing_net_income;missing_close;missing_pe_simple;non_positive_revenue;non_positive_close;non_positive_total_assets,2026-04-15T23:15:00+00:00
RJF,RAYMOND JAMES FINANCIAL INC,744727.0,simfin,,,us-shareprices-latest,2026-04-15T23:13:34+00:00,,,,,2026-04-14,153.23,153.23,1319046.0,197091037.0,,,,,,,,,,,,,0.0,,,,,,,missing_revenue;missing_net_income;missing_pe_simple;non_positive_revenue;non_positive_total_assets,2026-04-15T23:15:00+00:00
RF,Regions Financial Corp.,378207.0,simfin,,,us-shareprices-latest,2026-04-15T23:13:34+00:00,,,,,2026-04-14,27.75,27.75,10306841.0,863506691.0,,,,,,,,,,,,,0.0,,,,,,,missing_revenue;missing_net_income;missing_pe_simple;non_positive_revenue;non_positive_total_assets,2026-04-15T23:15:00+00:00
RVTY,,,simfin,,,us-shareprices-latest,2026-04-15T23:13:34+00:00,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,missing_company_name;missing_revenue;missing_net_income;missing_close;missing_pe_simple;non_positive_revenue;non_positive_close;non_positive_total_assets,2026-04-15T23:15:00+00:00
SNDK,SANDISK CORP,505727.0,simfin,,,us-shareprices-latest,2026-04-15T23:13:34+00:00,,,,,2026-04-14,944.46,944.46,19556598.0,202935277.0,,,,,,,,,,,,,0.0,,,,,,,missing_revenue;missing_net_income;missing_pe_simple;non_positive_revenue;non_positive_total_assets,2026-04-15T23:15:00+00:00
SW,,,simfin,,,us-shareprices-latest,2026-04-15T23:13:34+00:00,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,missing_company_name;missing_revenue;missing_net_income;missing_close;missing_pe_simple;non_positive_revenue;non_positive_close;non_positive_total_assets,2026-04-15T23:15:00+00:00
SOLV,,,simfin,,,us-shareprices-latest,2026-04-15T23:13:34+00:00,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,missing_company_name;missing_revenue;missing_net_income;missing_close;missing_pe_simple;non_positive_revenue;non_positive_close;non_positive_total_assets,2026-04-15T23:15:00+00:00
STT,State Street Corp.,378219.0,simfin,,,us-shareprices-latest,2026-04-15T23:13:34+00:00,,,,,2026-04-14,141.78,141.78,2271643.0,278728211.0,,,,,,,,,,,,,0.0,,,,,,,missing_revenue;missing_net_income;missing_pe_simple;non_positive_revenue;non_positive_total_assets,2026-04-15T23:15:00+00:00
SYF,Synchrony Financial,493399.0,simfin,,,us-shareprices-latest,2026-04-15T23:13:34+00:00,,,,,2026-04-14,75.55,75.55,3203032.0,347596279.0,,,,,,,,,,,,,0.0,,,,,,,missing_revenue;missing_net_income;missing_pe_simple;non_positive_revenue;non_positive_total_assets,2026-04-15T23:15:00+00:00
TKO,,,simfin,,,us-shareprices-latest,2026-04-15T23:13:34+00:00,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,missing_company_name;missing_revenue;missing_net_income;missing_close;missing_pe_simple;non_positive_revenue;non_positive_close;non_positive_total_assets,2026-04-15T23:15:00+00:00
TRV,"TRAVELERS COMPANIES, INC.",262327.0,simfin,,,us-shareprices-latest,2026-04-15T23:13:34+00:00,,,,,2026-04-14,299.59,299.59,1140388.0,216237902.0,,,,,,,,,,,,,0.0,,,,,,,missing_revenue;missing_net_income;missing_pe_simple;non_positive_revenue;non_positive_total_assets,2026-04-15T23:15:00+00:00
TFC,TRUIST FINANCIAL CORP,245217.0,simfin,,,us-shareprices-latest,2026-04-15T23:13:34+00:00,,,,,2026-04-14,49.53,49.53,6548222.0,1249168322.0,,,,,,,,,,,,,0.0,,,,,,,missing_revenue;missing_net_income;missing_pe_simple;non_positive_revenue;non_positive_total_assets,2026-04-15T23:15:00+00:00
USB,U.S. Bancorp,378231.0,simfin,,,us-shareprices-latest,2026-04-15T23:13:34+00:00,,,,,2026-04-14,56.09,56.09,15366524.0,1553695799.0,,,,,,,,,,,,,0.0,,,,,,,missing_revenue;missing_net_income;missing_pe_simple;non_positive_revenue;non_positive_total_assets,2026-04-15T23:15:00+00:00
VLTO,,,simfin,,,us-shareprices-latest,2026-04-15T23:13:34+00:00,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,missing_company_name;missing_revenue;missing_net_income;missing_close;missing_pe_simple;non_positive_revenue;non_positive_close;non_positive_total_assets,2026-04-15T23:15:00+00:00
WRB,BERKLEY W R CORP,1161717.0,simfin,,,us-shareprices-latest,2026-04-15T23:13:34+00:00,,,,,2026-04-14,65.99,65.99,2804923.0,374490856.0,,,,,,,,,,,,,0.0,,,,,,,missing_revenue;missing_net_income;missing_pe_simple;non_positive_revenue;non_positive_total_assets,2026-04-15T23:15:00+00:00
WFC,WELLS FARGO & COMPANY/MN,58953.0,simfin,,,us-shareprices-latest,2026-04-15T23:13:34+00:00,,,,,2026-04-14,81.7,81.7,32142274.0,3139084542.0,,,,,,,,,,,,,0.0,,,,,,,missing_revenue;missing_net_income;missing_pe_simple;non_positive_revenue;non_positive_total_assets,2026-04-15T23:15:00+00:00
