ticker,company_name,simfin_id,source,source_dataset_income,source_dataset_balance,source_dataset_shareprices,fetched_at_utc,report_date,publish_date,fiscal_year,fiscal_period,price_date,close,adj_close,volume,shares_outstanding_latest,shares_basic,shares_diluted,revenue,gross_profit,operating_income,net_income,net_income_common,total_assets,total_liabilities,total_equity,short_term_debt,long_term_debt,total_debt_simple,cash_and_equivalents,total_current_assets,total_current_liabilities,current_ratio_simple,eps_simple,pe_simple
MMM,3M CO,22219,simfin,us-income-annual,us-balance-annual,us-shareprices-latest,2026-02-25T03:33:28+00:00,2024-12-31,2025-02-05,2024,FY,2026-02-23,166.34,166.34,2921204,526700000.0,550800000.0,552400000.0,24575000000.0,10128000000.0,4822000000.0,4173000000,4173000000,39868000000,35974000000.0,3894000000,1919000000.0,11125000000.0,13044000000.0,7728000000.0,15884000000.0,11256000000.0,1.4111584932480454,7.554308472121651,22.019222621615146
AOS,Smith A O Corp,445771,simfin,us-income-annual,us-balance-annual,us-shareprices-latest,2026-02-25T03:33:28+00:00,2024-12-31,2025-02-11,2024,FY,2026-02-23,76.77,76.77,989502,25863159.0,145997584.0,147084080.0,3818100000.0,1456100000.0,716800000.0,533600000,533600000,3240000000,1356500000.0,1883500000,10000000.0,183200000.0,193200000.0,276100000.0,1392900000.0,1020600000.0,1.364785420340976,3.6278569373381537,21.1612534137931
ABT,ABBOTT LABORATORIES,63877,simfin,us-income-annual,us-balance-annual,us-shareprices-latest,2026-02-25T03:33:28+00:00,2024-12-31,2025-02-21,2024,FY,2026-02-23,115.29,115.29,9138109,1737682887.0,1740000000.0,1748000000.0,41950000000.0,23244000000.0,6825000000.0,13402000000,13402000000,81414000000,33513000000.0,47901000000,1500000000.0,12625000000.0,14125000000.0,7967000000.0,23656000000.0,14157000000.0,1.6709754891573074,7.667048054919908,15.037078048052532
ABBV,AbbVie Inc.,61199,simfin,us-income-annual,us-balance-annual,us-shareprices-latest,2026-02-25T03:33:28+00:00,2024-12-31,2025-02-14,2024,FY,2026-02-23,229.48,229.48,5459916,1768169012.0,1769000000.0,1773000000.0,56334000000.0,39430000000.0,11894000000.0,4278000000,4278000000,135161000000,131797000000.0,3364000000,6804000000.0,60340000000.0,67144000000.0,5555000000.0,25582000000.0,38749000000.0,0.6601976825208392,2.412859560067682,95.10706872370265
ACN,Accenture plc,61372,simfin,us-income-annual,us-balance-annual,us-shareprices-latest,2026-02-25T03:33:28+00:00,2024-08-31,2024-10-10,2024,FY,2026-02-23,201.18,201.18,9866099,660734900.0,627852613.0,635940044.0,64896464000.0,21162317000.0,10034287000.0,7264787000,7264787000,55932363000,29378723000.0,26553640000,946229000.0,78628000.0,1024857000.0,5009865000.0,20978041000.0,18976127000.0,1.105496448247843,11.423697986220851,17.61075968943343
